WellId;X;Y;DepthFrom;DepthTo;Rock;Porosity
W-0002;115.92;89.57;0.00;6.06;Dolomite;0.133
BAD-OVR1;95.24;62.42;0.00;10.00;Limestone;0.140
W-0002;83.94;56.56;24.27;28.18;Limestone;0.185
W-0002;127.84;98.80;28.18;44.61;Shale;0.098
W-0002;109.18;69.25;44.61;47.41;Sandstone;0.346
W-0002;102.83;70.93;47.41;54.69;Sandstone;0.139
W-0002;105.71;55.83;54.69;72.58;Dolomite;0.258
W-0002;118.71;82.12;72.58;86.29;Limestone;0.338
W-0002;84.17;91.05;86.29;88.67;Sandstone;0.093
W-0002;82.20;98.96;88.67;99.94;Dolomite;0.097
W-0002;82.80;53.75;99.94;106.40;Sandstone;0.341
W-0002;118.87;92.45;106.40;121.91;Dolomite;0.285
W-0002;103.67;53.58;121.91;127.98;Shale;0.348
W-0002;115.15;58.88;127.98;137.46;Limestone;0.061
W-0002;114.86;61.05;137.46;141.92;Limestone;0.075
W-0002;120.30;80.99;141.92;159.39;Dolomite;0.300
W-0002;125.52;81.89;159.39;173.63;;0.230
W-0002;128.75;63.87;173.63;175.32;Shale;0.277
W-0002;110.71;71.46;175.32;176.59;;0.077
W-0002;106.05;85.00;176.59;195.23;Sandstone;0.164
W-0002;118.57;66.38;195.23;208.84;Limestone;0.010
W-0002;105.79;77.61;208.84;214.44;Shale;0.257
W-0002;125.58;99.36;214.44;225.88;Limestone;0.143
W-0002;85.18;50.39;225.88;235.59;Sandstone;0.302
W-0002;98.72;93.67;235.59;244.74;Dolomite;0.150
W-0002;115.28;88.14;244.74;249.51;Dolomite;0.341
W-0002;101.30;80.00;249.51;255.78;Dolomite;0.071
W-0002;126.13;99.07;255.78;270.55;Shale;0.017
W-0002;106.14;58.19;270.55;277.61;Sandstone;0.025
W-0002;93.29;87.73;277.61;287.96;Dolomite;0.010
W-0002;116.81;86.03;287.96;291.85;Sandstone;0.335
W-0002;86.43;96.98;291.85;293.66;Sandstone;0.336
W-0002;109.58;61.60;293.66;310.50;Sandstone;0.043
W-0002;81.58;84.37;310.50;327.70;Sandstone;0.105
W-0002;120.51;82.29;327.70;342.36;Dolomite;0.257
W-0002;120.44;75.96;342.36;354.75;Sandstone;0.057
W-0002;82.90;90.46;354.75;356.78;;0.205
W-0002;88.08;63.72;356.78;362.20;Shale;0.174
W-0002;109.87;50.86;362.20;375.75;Shale;0.316
W-0002;93.72;75.59;375.75;385.27;Dolomite;0.116
W-0002;91.13;68.09;385.27;390.71;Dolomite;0.164
W-0002;89.07;72.06;390.71;393.54;Limestone;0.077
